parameter,value,sd,parameter_name,source_name,source_type,source_link,distribution,dist_param1,dist_param2,notes
n_t,660,,Number of time periods,Model assumption (NICE reference case),Model assumption,,fixed,,,55 years x 12 months; lifetime horizon; entry age ~25 (midpoint 16-35) to age 80. NICE reference case for CEA of interventions preventing chronic-disease events.
n_c,100000,,Number of cohort individuals,Model assumption,,,fixed,,,Standard cohort size; matches decision tree denominator (100000 screened migrants)
discount,0.035,,Discount rate,NICE Health Technology Evaluations: the Manual (PMG36 2022),Clinical guideline (NICE),https://www.nice.org.uk/process/pmg36/chapter/economic-evaluation-2,fixed,,,UK standard: 3.5% for costs and health effects per NICE reference case (PMG36 replaced PMG9 in Jan 2022; same 3.5% rate retained)
Cost_Uninfected,0,,Cost - Uninfected state,Model assumption,Model assumption,,fixed,,,No TB-related healthcare costs for uninfected individuals
Cost_LatentUndiagnosed,0,,Cost - Latent TB undiagnosed,Model assumption,Model assumption,,fixed,,,No costs incurred if LTBI remains undiagnosed
Cost_LatentDiagnosed,5,2.50,Cost - Latent TB diagnosed,Curtis and Burns PSSRU 2022; NICE NG33,Unit costs reference; Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,gamma,4,1.25,NICE NG33 recommends follow-up at 3 and 12 months for diagnosed LTBI. Derived: 2 annual community nurse contacts × £28/contact (PSSRU 2022 practice nurse per-contact cost) = £56/year = £4.67/mo → rounded to £5/mo.
Cost_LatentTreated,64,16.00,Cost - Latent TB under treatment,Snoad et al. 2025 medRxiv,Preprint (UK micro-costing),https://doi.org/10.1101/2025.01.29.25321354,gamma,16,4.0,TB_costs_UK.xlsx (Treatment sheet). 3HR (Rifinah 3mo): drugs £79.88 + tests £4.58 + staff £108.21 = £192.67 total / 3 months = £64.22/mo. Consistent with completion rate based on 3HR/Surey 2021.
Cost_LatentNotreated,5,2.50,Cost - Latent TB not treated,Curtis and Burns PSSRU 2022; NICE NG33,Unit costs reference; Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,gamma,4,1.25,NICE NG33 recommends follow-up for LTBI patients who decline treatment. Derived: 2 annual community nurse contacts × £28/contact (PSSRU 2022 practice nurse per-contact cost) = £56/year = £4.67/mo → rounded to £5/mo. Same derivation as Cost_LatentDiagnosed; lower confidence as NICE NG33 specifies no mandated follow-up frequency for declining patients.
Cost_LatentCompleted,0,,Cost - Latent TB treatment completed,Model assumption,Model assumption,,fixed,,,No ongoing costs post-LTBI treatment completion
Cost_LatentDiscontinued,5,2.50,Cost - Latent TB treatment discontinued,Curtis and Burns PSSRU 2022; NICE NG33,Unit costs reference; Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,gamma,4,1.25,NICE NG33 recommends monitoring after LTBI treatment discontinuation. Derived: 2 annual community nurse contacts × £28/contact (PSSRU 2022 practice nurse per-contact cost) = £56/year = £4.67/mo → rounded to £5/mo. Same derivation as Cost_LatentDiagnosed; lower confidence as no NHS tariff published for this patient group.
Cost_LatentLtfu,0,,Cost - Latent TB lost to follow-up,Model assumption,Model assumption,,fixed,,,No NHS costs if LTFU; 13% LTFU rate in UK
Cost_ActiveUndiagnosed,0,,Cost - Active TB undiagnosed,Model assumption,Model assumption,,fixed,,,No healthcare costs if active TB remains undiagnosed
Cost_ActiveDiagnosed,144,36.00,Cost - Active TB diagnosed,"Pareek et al. 2011 (Lancet Infect Dis PMID21514236) CXR £39.85 + culture £14.23 (2010 GBP; inflated to 2023 GBP using HCHS 2010-2016 x CPIH 2016-2023 factor=1.510: CXR->£60.16, culture->£21.48); NHS Barts Xpert Ultra £38.80 (2023/24); staff tariffs doctor 15min £19.05 + nurse 15min £4.20 (2023/24 PSSRU)",Peer-reviewed micro-costing (UK); NHS unit costs; ONS CPIH; PSSRU HCHS,https://doi.org/10.1016/S1473-3099(11)70069-X; https://doi.org/10.1101/2025.01.29.25321354,gamma,16,9.00,One-off diagnostic workup: CXR £60.16 + culture £21.48 (Pareek 2011 2010 GBP components inflated to 2023 GBP via HCHS 2010-16 x CPIH 2016-23; factor=1.510) + Xpert Ultra £38.80 (NHS Barts Trust 2023/24) + doctor 15min £19.05 + nurse 15min £4.20 (PSSRU 2023/24 staff tariffs) = £143.69 -> £144. All GBP (pounds sterling). CV maintained at 25% (SD=£36; shape=16 scale=9.0). Assigned as monthly cost; most patients exit ActiveDiagnosed within 1 month.
Cost_ActiveTreated,770,192.50,Cost - Active TB under treatment,NICE CG117 Appendix L (2011) inflated to 2023 GBP via NHS cost inflation index,NICE economic analysis,https://www.ncbi.nlm.nih.gov/books/NBK97875/,gamma,16,48.125,"NICE CG117 Appendix L (2011): outpatient care (active TB) £777 + contact tracing £2,058 = £2,835/episode in 2008/09 GBP (NHS financial year). Inflated to 2023 GBP via NHS cost inflation (HCHS PSSRU 2009-2016 x CPIH 2016-2023 combined factor ~1.55); applied factor ×1.63 gives £4,622/episode ÷ 6 months = £770/month (GBP, pounds sterling). Note: ×1.63 slightly exceeds CPIH-only estimate (×1.51); may reflect NHS-specific labour/capital cost inflation running above general CPI in 2009-2016 (HCHS 2009->2016 = ×1.22 vs CPIH ×1.09 for same period). Conservative: White & Jit 2015 (NICE NG33 Appendix I2, Table 2.5) cross-check gives £5,329 in 2014 GBP (~£7,100 in 2023 GBP, £1,183/month) — our estimate excludes inpatient/DOT components."
Cost_ActiveNotreated,0,,Cost - Active TB not treated,Model assumption,Model assumption,,fixed,,,Active TB diagnosed but treatment refused/declined. Assumption: no NHS costs incurred if patient declines all care. UK context: re-engagement attempts may occur but costs unquantifiable; conservative zero-cost assumption adopted.
Cost_ActiveCompleted,10,5.00,Cost - Active TB treatment completed,Curtis and Burns PSSRU 2022; NICE CG117,Unit costs reference; Clinical guideline (NICE),https://www.nice.org.uk/guidance/cg117,gamma,4,2.5,NICE CG117 recommends outpatient follow-up at 2 and 12 months post-treatment completion. Derived: 3 community nurse contacts/year × £28/contact (PSSRU 2022 practice nurse per-contact) + 1 GP review/year × £30.50 (PSSRU 2022 GP surgery consultation) = £84 + £30.50 = £114.50/year = £9.54/mo → rounded to £10/mo.
Cost_ActiveDiscontinued,100,50.00,Cost - Active TB treatment discontinued,NHS England National Cost Collection 2022/23; Curtis and Burns PSSRU 2022; NICE CG117,Government reference costs; Unit costs reference; Clinical guideline (NICE),https://www.england.nhs.uk/publication/2022-23-national-cost-collection-data-publication-2/,gamma,4,25,Patient discontinued active TB treatment requires continued clinical monitoring. Derived: 1 monthly outpatient TB clinic review £51/attendance (NHS National Cost Collection 2022/23
Cost_ActiveLtfu,50,25.00,Cost - Active TB lost to follow-up,Curtis and Burns PSSRU 2022; NHS England National Cost Collection 2022/23,Unit costs reference; Government reference costs,https://kar.kent.ac.uk/100519/,gamma,4,12.5,Sporadic unplanned healthcare contact for patients LTFU from active TB treatment. Derived: 0.5 GP consultations/month × £30.50 (PSSRU 2022 surgery consultation) + 0.33 emergency outpatient/month × £120 (NHS National Cost Collection 2022/23) = £15.25 + £39.60 ≈ £55/mo → rounded down to £50/mo. LOW CONFIDENCE — no published UK data for this group; migrants may leave the UK (unobservable). Conservative estimate; sensitivity analysis recommended.
Cost_Dead,0,,Cost - Dead state,Model assumption,Model assumption,,fixed,,,No costs in absorbing death state
Cost_ActiveUndiagnosed_scenario,150,50.00,Cost of unmanaged TB scenario - Active TB undiagnosed,Loutet et al. 2018 Epidemiol Infect PMID29923481; Metcalfe et al. 2007 BJGP PMID17263928 (qualitative; pre-diagnosis contact patterns); Long et al. 2002 Int J Tuberc Lung Dis PMID11936743; NHS England National Cost Collection 2022/23; Curtis and Burns PSSRU 2022; Miners et al. 2017 Lancet HIV PMC5614770 (methodological precedent),Peer-reviewed research; Government reference costs,https://pubmed.ncbi.nlm.nih.gov/29923481/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2034171/; https://pubmed.ncbi.nlm.nih.gov/11936743/; https://www.england.nhs.uk/publication/2022-23-national-cost-collection-data-publication-2/; https://kar.kent.ac.uk/100519/; https://pmc.ncbi.nlm.nih.gov/articles/PMC5614770/,gamma,9,16.6667,SCENARIO ONLY (base case = £0). Monthly cost for undiagnosed active TB: GP/ED contacts and infection control workup during diagnostic delay (Loutet 2018; Metcalfe 2007 BJGP; Long 2002 IJTLD; NHS NCC 2022/23; PSSRU 2022).
Cost_ActiveNotreated_scenario,275,91.67,Cost of unmanaged TB scenario - Active TB not treated,"Loutet et al. 2018 Epidemiol Infect PMID29923481; Metcalfe et al. 2007 BJGP PMID17263928 (qualitative; pre-diagnosis contact patterns); Long et al. 2002 Int J Tuberc Lung Dis PMID11936743; Story et al. 2019 Lancet PMID30799062 (DOT cost £44/visit; first author: Story A, senior author: Hayward AC); Tucker et al. 2017 BMC Public Health PMID29141600 (ECM levels; first author: Tucker A); NICE NG33 (2016); Curtis and Burns PSSRU 2022",Peer-reviewed research; Clinical guideline (NICE); Government reference costs,https://pubmed.ncbi.nlm.nih.gov/29923481/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6429626/; https://pmc.ncbi.nlm.nih.gov/articles/PMC5688729/; https://www.nice.org.uk/guidance/ng33; https://kar.kent.ac.uk/100519/,gamma,9,30.5556,SCENARIO ONLY (base case = £0). Monthly cost for known but untreated active TB: diagnostic contact costs (~£150/mo; same sources as ActiveUndiagnosed) plus enhanced case management outreach (~£125/mo; Tucker 2017; Story 2019; NICE NG33; PSSRU 2022).
qaly_Uninfected,0.92,0.05,QALY weight - Uninfected,Kind et al. 1998 BMJ; UKHSA LTBI programme data,Peer-reviewed research; Government report (UKHSA),https://www.bmj.com/content/316/7133/736,beta,26.16,2.28,"UK population baseline utility for age 16-35 (Kind et al. 1998 BMJ, age-specific value for 16-35 yr cohort = 0.92; higher than overall population mean 0.86 due to younger age group)"
qaly_LatentUndiagnosed,0.92,0.05,QALY weight - Latent TB undiagnosed,Kind et al. 1998 BMJ; UKHSA LTBI programme data,Peer-reviewed research; Government report (UKHSA),https://www.bmj.com/content/316/7133/736,beta,26.16,2.28,"LTBI asymptomatic; same as baseline 0.92 (Kind et al. 1998 BMJ, age 16-35)"
qaly_LatentDiagnosed,0.92,0.05,QALY weight - Latent TB diagnosed,Kind et al. 1998 BMJ; UKHSA LTBI programme data,Peer-reviewed research; Government report (UKHSA),https://www.bmj.com/content/316/7133/736,beta,26.16,2.28,"LTBI asymptomatic even when diagnosed; same as baseline 0.92 (Kind et al. 1998 BMJ, age 16-35)"
qaly_LatentTreated,0.92,0.05,QALY weight - Latent TB under treatment,Bauer et al. 2015 Qual Life Res; Dale et al. 2022 AJE,Peer-reviewed research,https://academic.oup.com/aje/article/191/2/255/6279409,beta,26.16,2.28,Base case: no disutility during LTBI treatment (= healthy baseline 0.92; Kind et al. 1998 age 16-35). Bauer et al. 2015 (Qual Life Res) measured LTBI treatment utility with NO decrement from healthy state. Dale et al. 2022 AJE confirms tipping point at decrement >0.0068. DSA scenario: 0.87 to test sensitivity.
qaly_LatentNotreated,0.92,0.05,QALY weight - Latent TB not treated,Kind et al. 1998 BMJ; UKHSA LTBI programme data,Peer-reviewed research; Government report (UKHSA),https://www.bmj.com/content/316/7133/736,beta,26.16,2.28,"Asymptomatic; same as baseline 0.92 (Kind et al. 1998 BMJ, age 16-35)"
qaly_LatentCompleted,0.92,0.05,QALY weight - Latent TB treatment completed,Kind et al. 1998 BMJ; UKHSA LTBI programme data,Peer-reviewed research; Government report (UKHSA),https://www.bmj.com/content/316/7133/736,beta,26.16,2.28,"Return to baseline 0.92 post-LTBI treatment (Kind et al. 1998 BMJ, age 16-35)"
qaly_LatentDiscontinued,0.92,0.05,QALY weight - Latent TB treatment discontinued,Kind et al. 1998 BMJ; UKHSA LTBI programme data,Peer-reviewed research; Government report (UKHSA),https://www.bmj.com/content/316/7133/736,beta,26.16,2.28,"Asymptomatic; same as baseline 0.92 (Kind et al. 1998 BMJ, age 16-35)"
qaly_LatentLtfu,0.92,0.05,QALY weight - Latent TB lost to follow-up,Kind et al. 1998 BMJ; UKHSA LTBI programme data,Peer-reviewed research; Government report (UKHSA),https://www.bmj.com/content/316/7133/736,beta,26.16,2.28,"Asymptomatic; same as baseline 0.92 (Kind et al. 1998 BMJ, age 16-35)"
qaly_ActiveUndiagnosed,0.68,0.10,QALY weight - Active TB undiagnosed,Jit et al. 2011 London TB study (PMC3273731); Guo et al. 2008 Value in Health PMID18489493,Peer-reviewed research (UK); Peer-reviewed research,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273731/,beta,14.12,6.64,UK London TB study: utility 0.68 for untreated/undiagnosed active TB. Preferred over Mugwagwa 2021 (South Africa; 0.69 from different baseline) as UK-measured value. Beta params: mean=0.68 sd=0.10.
qaly_ActiveDiagnosed,0.68,0.10,QALY weight - Active TB diagnosed,Jit et al. 2011 London TB study (PMC3273731); Guo et al. 2008 Value in Health PMID18489493,Peer-reviewed research (UK); Peer-reviewed research,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273731/,beta,14.12,6.64,UK London TB study: same utility as undiagnosed — diagnosis alone does not improve QoL before treatment starts. Beta params: mean=0.68 sd=0.10.
qaly_ActiveTreated,0.81,0.07,QALY weight - Active TB under treatment,Jit et al. 2011 London TB study (PMC3273731); Guo et al. 2008 Value in Health PMID18489493,Peer-reviewed research (UK); Peer-reviewed research,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273731/,beta,24.63,5.78,UK London TB study: 0.81 on active TB treatment. Improvement from untreated (0.68) as symptoms controlled. Beta params: mean=0.81 sd=0.07 → α=24.63 β=5.78.
qaly_ActiveNotreated,0.68,0.10,QALY weight - Active TB not treated,Jit et al. 2011 London TB study (PMC3273731); Guo et al. 2008 Value in Health PMID18489493,Peer-reviewed research (UK); Peer-reviewed research,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273731/,beta,14.12,6.64,UK London TB study: same as undiagnosed active TB — no treatment means same symptomatic burden. Beta params: mean=0.68 sd=0.10.
qaly_ActiveCompleted,0.92,0.05,QALY weight - Active TB treatment completed,Kind et al. 1998 BMJ,Peer-reviewed research (UK),https://www.bmj.com/content/316/7133/736,beta,26.16,2.28,Post-TB return to population norms (Kind et al. 1998 BMJ
qaly_ActiveDiscontinued,0.68,0.10,QALY weight - Active TB treatment discontinued,Jit et al. 2011 London TB study (PMC3273731); Guo et al. 2008 Value in Health PMID18489493,Peer-reviewed research (UK); Peer-reviewed research,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273731/,beta,14.12,6.64,UK London TB study: return to untreated active TB utility level after discontinuation. Beta params: mean=0.68 sd=0.10.
qaly_ActiveLtfu,0.68,0.10,QALY weight - Active TB lost to follow-up,Jit et al. 2011 London TB study (PMC3273731); Guo et al. 2008 Value in Health PMID18489493,Peer-reviewed research (UK); Peer-reviewed research,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273731/,beta,14.12,6.64,UK London TB study: LTFU reverts to untreated active TB utility. Beta params: mean=0.68 sd=0.10.
qaly_Dead,0,,QALY weight - Dead,Standard convention,Model assumption,,fixed,,,Absorbing state; zero utility by definition
p_Uninfected_LatentUndiagnosed,0.0001,0.00005,Prob: Uninfected to Latent TB undiagnosed,UKHSA TB Report 2024; Berrocal-Almanza et al. 2022 Lancet Public Health,Government report (UKHSA); Peer-reviewed research,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,4.0,39996,"Within-cohort LTBI acquisition rate. Model assumption: migrants transmit primarily within the migrant community; most migrant LTBI is prevalent at entry, not UK-acquired (~15–20% UK-acquired; UKHSA 2024). Calibrated to ~17% background LTBI screening coverage over 20 years."
p_LatentUndiagnosed_LatentDiagnosed,0.001,0.00045,Prob: Latent undiagnosed to diagnosed,UKHSA TB in England 2025 (Prevention: England 2024),Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/2-tuberculosis-prevention-england-2024,beta,4.99,4994.01,CALIBRATED: 17.2% of eligible migrants tested in 2024 (40
p_LatentUndiagnosed_ActiveUndiagnosed,0.000912,0.0003,Prob: Latent undiagnosed to Active undiagnosed,Berrocal-Almanza et al. 2022 Lancet Public Health (UK cohort),Peer-reviewed research (UK cohort),https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,9.23,10114.77,UK IGRA+ untreated migrants: 1.09%/yr (Berrocal-Almanza et al. 2022); monthly conversion 1-(1-0.0109)^(1/12)=0.000912. Previous value 0.0005 (0.6%/yr) from CDC MMWR 2020 (US) was too low and wrong population.
p_LatentDiagnosed_ActiveUndiagnosed,0.000912,0.0003,Prob: Latent diagnosed to Active undiagnosed,Berrocal-Almanza et al. 2022 Lancet Public Health (UK cohort),Peer-reviewed research (UK cohort),https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,9.23,10114.77,UK IGRA+ untreated migrants 1.09%/yr (Berrocal-Almanza et al. 2022); monthly=0.000912. Diagnosed but pre-treatment: monitoring does not reduce biological reactivation risk — same as undiagnosed until treatment starts. Previous 0.0003 was unsupported.
p_ActiveUndiagnosed_ActiveDiagnosed,0.15,0.039,Prob: Active undiagnosed to diagnosed,Model calibration; Loutet et al. 2018 Epidemiol Infect (PMID29923481); UKHSA TB in England 2024,Model calibration; Peer-reviewed research; Government report (UKHSA),,beta,12.75,72.25,Calibrated to median total diagnostic delay 2.8 months (Loutet 2018: n=22422 England 2012-2015); 0.15/mo implies mean time-to-diagnosis ~6-7 months
p_LatentDiagnosed_LatentTreated,0.151,0.030,Prob: Latent diagnosed to treatment,UKHSA TB Prevention England 2023 (TB in England 2024 Report); UKHSA TB in England 2025 (Prevention 2024),Government report (UKHSA); Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2024-report/tuberculosis-prevention-england-2023,beta,21.4,120.1,CORRECTED: 74.8% of LTBI-diagnosed individuals initiated treatment (UKHSA 2024 TB Prevention
p_LatentDiagnosed_LatentNotreated,0.05,0.022,Prob: Latent diagnosed to not treated,UKHSA TB Prevention England 2023 (TB in England 2024 Report),Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2024-report/tuberculosis-prevention-england-2023,beta,4.75,90.25,25.2% of LTBI-diagnosed individuals decline treatment (UKHSA 2024: 100%-74.8% initiation). With p_treat=0.151: fraction declining = 0.05/(0.151+0.050+0.001)=24.7% ✓. Previous note citing 74% was population-level (denominator = all LTBI+
p_ActiveDiagnosed_ActiveTreated,0.80,0.087,Prob: Active diagnosed to treatment,UKHSA TB Report 2025; WHO,Government report (UKHSA); WHO report,https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,16,4,UK has high treatment initiation; 88% treatment success rate
p_ActiveDiagnosed_ActiveNotreated,0.03,0.010,Prob: Active diagnosed to not treated,UKHSA East of England TB Regional Report 2023,Government report (UKHSA regional),https://www.gov.uk/government/publications/tuberculosis-tb-regional-reports-2023/east-of-england-tuberculosis-in-2023,beta,8.7,281.3,"East of England TB Regional Report 2023: 96.3% of notified TB cases started treatment (395/410) → 3.7% non-initiation. Calibrated: p_notreat / (p_notreat + 0.80 + 0.005) = 0.037 → p_notreat ≈ 0.03/mo. Previous value 0.05/mo (model estimate, Low confidence) implied ~5.9% conditional non-initiation — overstated. Regional data only; national UKHSA figure not published as headline statistic. beta(8.7, 281.3): mean=0.03, sd=0.01; 95% range ≈ 0.01–0.05."
p_LatentTreated_LatentCompleted,0.253,0.034,Prob: Latent treatment to completed,Surey et al. 2021 BMC Infect Dis; UKHSA TB in England 2025 (Prevention 2024),Peer-reviewed research (UK RCT); Government report (UKHSA),https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-05766-9,beta,41.1,121.3,"Derived: 76.0% completion (rifampicin arm, Surey et al. 2021, 3HR regimen) / 3 months = 0.76/3 = 0.253/mo. UKHSA 2025 Prevention: real-world completion 55.5% (contacts); 11.7% overall (large missing data). Trial estimate used as base case; SA lower bound reflects real-world uncertainty."
p_LatentTreated_LatentDiscontinued,0.02,0.014,Prob: Latent treatment to discontinued,HALT LTBI UK trial; PMC review,Peer-reviewed research (UK RCT),https://pmc.ncbi.nlm.nih.gov/articles/PMC7818935/,beta,1.96,96.04,UK: ~9% discontinue adverse drug reactions; monthly ~2%
p_LatentTreated_LatentLtfu,0.057,0.020,Prob: Latent treatment to lost to follow-up,Surey et al. 2021 BMC Infect Dis (PMID 33478428); HALT LTBI pilot RCT UK,Peer-reviewed research (UK RCT London),https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-05766-9,beta,7.60,125.77,Derived: Surey 2021 HALT LTBI pilot (3HR arm n=25 London): 4/25=16% LTFU over 12wk → 1-(1-0.16)^(1/3)=0.057/mo. Conditional completion=0.253/(0.253+0.02+0.057)=76.7%≈76% trial rate. Caveat: small n (95% CI 4.5-34.7%); excluded high-risk populations. Replaces Noh 2019 (Korean elderly — wrong population).
p_ActiveTreated_ActiveCompleted,0.12,0.034,Prob: Active treatment to completed,UKHSA TB Report 2025; WHO,Government report (UKHSA); WHO report,https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,10.56,77.44,2HRZE/4HR: Rifater+ethambutol 2mo then Rifinah 4mo; 6mo total; 84.4% completion (2023)
p_ActiveTreated_ActiveDiscontinued,0.015,0.012,Prob: Active treatment to discontinued,UKHSA TB Report 2025,Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,1.478,96.97,UK treatment discontinuation ~2%; adverse effects main cause
p_ActiveTreated_ActiveLtfu,0.005,0.0025,Prob: Active treatment to lost to follow-up,UKHSA TB in England 2025 (treatment outcomes 2023),Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,3.98,791,UKHSA TB in England 2025 Table 4.x: ~3% LTFU over 6-month treatment course (England 2023). Monthly rate = 1-(1-0.03)^(1/6) = 0.00508/mo ≈ 0.005/mo. PSA: beta(3.98
p_LatentNotreated_ActiveUndiagnosed,0.000912,0.0003,Prob: Latent not treated to Active undiagnosed,Berrocal-Almanza et al. 2022 Lancet Public Health (UK cohort),Peer-reviewed research (UK cohort),https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,9.23,10114.77,UK IGRA+ untreated migrants 1.09%/yr (Berrocal-Almanza et al. 2022); monthly=0.000912. Same biological risk as undiagnosed; treatment declined not yet started.
p_ActiveDiscontinued_ActiveUndiagnosed,0.05,0.022,Prob: Active discontinued to undiagnosed,Model estimate; UKHSA outcomes data,Model assumption; Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,4.75,90.25,Return to infectious state if treatment stopped
p_ActiveLtfu_ActiveUndiagnosed,0.05,0.022,Prob: Active LTFU to undiagnosed,Model estimate; Frontiers LTFU,Model assumption; Peer-reviewed research,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2023.1136094/full,beta,4.75,90.25,Poor outcomes for LTFU; UK migrants may return to care or leave UK
p_LatentCompleted_Uninfected,0.08,0.028,Prob: Latent completed to Uninfected,NICE NG33 2016; Berrocal-Almanza et al. 2022 Lancet Public Health,Clinical guideline (NICE); Peer-reviewed research,https://www.nice.org.uk/guidance/ng33,beta,7.36,84.64,NICE NG33: LTBI treatment 60-90% efficacious; Berrocal-Almanza 2022: 85% risk reduction in IGRA+ migrants (HR 0.14 [0.06-0.32]). ⚠ STRUCTURAL ASSUMPTION: efficacy modelled as monthly transition to Uninfected — may not fully capture time profile of protection.
p_LatentCompleted_ActiveUndiagnosed,0.000128,0.00006,Prob: Latent completed to Active undiagnosed (treatment failure / residual reactivation risk),Berrocal-Almanza et al. 2022 Lancet Public Health; NICE NG33 2016,Peer-reviewed research (UK cohort); Clinical guideline (NICE),https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,4.55,35542,"Residual reactivation risk after LTBI treatment completion. Derived: untreated rate × (1 − efficacy) = 0.000912 × (1 − 0.86) = 0.000912 × 0.14 = 0.000128/mo. Efficacy = 86% HR reduction (HR 0.14 [0.06–0.32]; Berrocal-Almanza et al. 2022, UK IGRA+ migrants). DSA range: 0.000912×0.68=0.000620/mo (60% efficacy; NICE NG33 lower bound for 3RH) to 0.000912×0.06=0.0000547/mo (94% efficacy; Berrocal-Almanza upper 95% CI). Beta params: mean=0.000128 sd=0.00006 → α=4.55 β=35542. Previous model: LatentCompleted had zero reactivation (implicit 100% efficacy) — corrected 14 Mar 2026."
