parameter,value,sd,parameter_name,source_name,source_type,source_link,distribution,dist_param1,dist_param2,notes
p_ActiveCompleted_Uninfected,0.10,0.031,Prob: Active completed to Uninfected,Model assumption; consistent with UKHSA 88% treatment success rate,Model assumption; Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,9,81,Model structural parameter: monthly clearance from ActiveCompleted state. 0.10/mo implies mean dwell ~10mo before transitioning to Uninfected; consistent with UK 88% treatment success outcome (UKHSA TB in England 2025).
p_Uninfected_Dead,0.0000417,0.0000100,Prob: Uninfected to Dead,ONS UK Mortality Statistics 2024 (age-specific),National statistics (ONS),https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregistrationsummarytables/2024,beta,17.39,416982,ONS age 16-35 all-cause: ~50/100k/yr = 0.0000417/month. Previous 0.0001/month used all-age ASMR — incorrect for young migrant cohort. Beta params: α=17.39 β=416982.
p_LatentUndiagnosed_Dead,0.0000417,0.0000100,Prob: Latent undiagnosed to Dead,ONS UK Mortality Statistics 2024 (age-specific),National statistics (ONS),https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregistrationsummarytables/2024,beta,17.39,416982,LTBI does not increase mortality; background rate. ONS age 16-35: 50/100k/yr = 0.0000417/month. Beta params: α=17.39 β=416982.
p_LatentDiagnosed_Dead,0.0000417,0.0000100,Prob: Latent diagnosed to Dead,ONS UK Mortality Statistics 2024 (age-specific),National statistics (ONS),https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregistrationsummarytables/2024,beta,17.39,416982,LTBI does not increase mortality; background rate. ONS age 16-35: 50/100k/yr = 0.0000417/month. Beta params: α=17.39 β=416982.
p_LatentTreated_Dead,0.0000450,0.0000150,Prob: Latent treated to Dead,ONS UK Mortality Statistics 2024 (age-specific); NICE NG33 hepatotoxicity data,National statistics (ONS); Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,beta,9.0,199981,Background mortality 0.0000417/month + hepatotoxicity increment. NICE NG33: fatal hepatitis <0.001% per course (6-month course → ~0.0000017/month excess). Value 0.000045 ≈ 1.1× background — conservative hepatotoxicity increment. Previous 0.00006 was ~5× too high vs NICE NG33 evidence. Beta params: mean=0.000045 sd=0.000015 → α=9.0 β=199981.
p_LatentNotreated_Dead,0.0000417,0.0000100,Prob: Latent not treated to Dead,ONS UK Mortality Statistics 2024 (age-specific),National statistics (ONS),https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregistrationsummarytables/2024,beta,17.39,416982,Background mortality; LTBI minimal excess mortality. ONS age 16-35: 50/100k/yr = 0.0000417/month. Beta params: α=17.39 β=416982.
p_LatentCompleted_Dead,0.0000417,0.0000100,Prob: Latent completed to Dead,ONS UK Mortality Statistics 2024 (age-specific),National statistics (ONS),https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregistrationsummarytables/2024,beta,17.39,416982,Return to background mortality after LTBI treatment completion. ONS age 16-35: 50/100k/yr = 0.0000417/month. Beta params: α=17.39 β=416982.
p_LatentDiscontinued_Dead,0.0000417,0.0000100,Prob: Latent discontinued to Dead,ONS UK Mortality Statistics 2024 (age-specific),National statistics (ONS),https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregistrationsummarytables/2024,beta,17.39,416982,Background mortality; LTBI discontinuation minimal mortality risk. ONS age 16-35: 50/100k/yr = 0.0000417/month. Beta params: α=17.39 β=416982.
p_LatentLtfu_Dead,0.0000417,0.0000100,Prob: Latent LTFU to Dead,ONS UK Mortality Statistics 2024 (age-specific),National statistics (ONS),https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregistrationsummarytables/2024,beta,17.39,416982,Background mortality; LTFU patients are NOT on treatment so no hepatotoxicity risk. Previous 0.00006 was logically inconsistent — identical to LatentTreated_Dead which adds hepatotoxicity. ONS age 16-35: 50/100k/yr = 0.0000417/month. Beta params: α=17.39 β=416982.
p_ActiveUndiagnosed_Dead,0.01,0.005,Prob: Active undiagnosed to Dead,Tiemersma et al. 2011 (PLOS ONE); WHO,Systematic review; WHO report,https://pmc.ncbi.nlm.nih.gov/articles/PMC3070694/,beta,3.95,391,Untreated TB ~50% 5-year mortality pre-chemotherapy era (Tiemersma 2011). Monthly rate: -ln(0.50)/60=0.0116; base case 0.01/month. Literature range: 0.008-0.025/month (38-78% 5-year). PSA sd=0.005 → beta(3.95
p_ActiveDiagnosed_Dead,0.005,0.0022,Prob: Active diagnosed to Dead,UKHSA TB Report 2025,Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,4.975,990.025,UK TB case fatality 4.6% (2023); monthly ~0.5%
p_ActiveTreated_Dead,0.0012,0.0006,Prob: Active treated to Dead,Pedrazzoli et al. 2019 ERJ Open Res (PMC6911924) UK TB surveillance; UKHSA TB in England 2025,Peer-reviewed research (UK surveillance); Government report (UKHSA),https://pmc.ncbi.nlm.nih.gov/articles/PMC6911924/,beta,4.0,3324.4,Pedrazzoli et al. 2019 (UK
p_ActiveNotreated_Dead,0.015,0.005,Prob: Active not treated to Dead,Tiemersma et al. 2011 (PLOS ONE); WHO,Systematic review; WHO report,https://pmc.ncbi.nlm.nih.gov/articles/PMC3070694/,beta,8.85,581,Active TB
p_ActiveCompleted_Dead,0.0002,0.00014,Prob: Active completed to Dead,Model estimate; UKHSA outcomes,Model assumption; Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,1.9996,9998,Near background mortality; slight elevation post-TB sequelae
p_ActiveDiscontinued_Dead,0.008,0.0028,Prob: Active discontinued to Dead,UKHSA outcomes; Model estimate,Government report (UKHSA); Model assumption,https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,7.936,984.064,Poor outcomes; between treated and untreated mortality
p_ActiveLtfu_Dead,0.01,0.005,Prob: Active LTFU to Dead,UKHSA; Frontiers LTFU outcomes,Government report (UKHSA); Peer-reviewed research,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2023.1136094/full,beta,3.95,391,High mortality similar to untreated; UK migrants LTFU may leave country. Previous sd=0.010 gave α=0.99 (J-shaped
p_LatentDiscontinued_ActiveUndiagnosed,0.0008,0.00040,Prob: Latent discontinued to Active undiagnosed,Model estimate; Berrocal-Almanza et al. 2022 Lancet Public Health (UK cohort),Model assumption; Peer-reviewed research (UK cohort),https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,3.998,4996,⚠ MODEL ESTIMATE: 0.0008/month (~0.96%/yr) slightly below untreated rate (0.000912). Assumes partial protection from incomplete treatment. No direct UK data — sensitivity analysis recommended.
p_LatentLtfu_ActiveUndiagnosed,0.000912,0.0003,Prob: Latent LTFU to Active undiagnosed,Berrocal-Almanza et al. 2022 Lancet Public Health (UK cohort),Peer-reviewed research (UK cohort),https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,9.23,10114.77,UK IGRA+ untreated migrants 1.09%/yr (Berrocal-Almanza et al. 2022); monthly=0.000912. LTFU receive no treatment so same observed rate of progression from latent to active TB as untreated LTBI (Berrocal-Almanza et al. 2022
p_react_phase2,0.000333,0.0001,Reactivation rate phase 2 (year 5+) — two-phase model,Horsburgh 2004 NEJM PMID15141044; Dale et al. 2022 AJE PMID34017976,Peer-reviewed research,https://pubmed.ncbi.nlm.nih.gov/15141044/,gamma,11.09,0.0000300,TWO-PHASE REACTIVATION: Berrocal-Almanza 2022 rate (0.000912/mo = 1.09%/yr) applies years 0-5 (cycles 1-60); this lower rate applies years 5-55 (cycles 61-660). Rationale: Berrocal-Almanza 2022 measured short-term follow-up in newly-arrived IGRA+ migrants — extrapolating to 55yr gives 45% lifetime reactivation vs literature ~10-15%. Horsburgh 2004 NEJM: reactivation declines after first 2yr; remote LTBI rate ~0.10-0.40%/yr. Dale 2022 uses same two-phase approach (Horsburgh 2004). 0.000333/mo = 0.40%/yr gives ~22% lifetime reactivation; 0.000167/mo = 0.20%/yr gives ~14%. TO DISABLE two-phase behaviour: set equal to p_LatentUndiagnosed_ActiveUndiagnosed (0.000912) — scale factor becomes 1.0 and no change occurs at cycle 61.
p_ActiveNotreated_ActiveDiagnosed,0.02,0.014,Prob: Active not treated to diagnosed,Model estimate; UKHSA care pathway,Model assumption; Government report (UKHSA),https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/4-tuberculosis-treatment-and-outcomes-england-2024,beta,1.96,96.04,Return to care; UK NHS free TB care regardless of immigration status
p_LatentDiscontinued_LatentDiagnosed,0.01,0.005,Prob: Latent discontinued to re-engagement,Model estimate; NICE NG33 recall pathway,Model assumption; Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,beta,3.95,391,Re-engagement with LTBI care; UK NHS recall systems for treatment defaulters. Previous sd=0.010 gave α=0.99 (J-shaped
p_LatentLtfu_LatentDiagnosed,0.005,0.0022,Prob: Latent LTFU to re-engagement,Model estimate; NICE NG33,Model assumption; Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,beta,4.975,990.025,Slower re-engagement for LTFU; migrants may re-present to NHS or be recalled
init_Uninfected,0.812,0.020,Initial proportion - Uninfected,Berrocal-Almanza et al. 2022 Lancet Public Health; UKHSA TB in England 2024 Report,Peer-reviewed research; Government report (UKHSA),https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,309.1,71.6,Complement of LTBI + active TB prevalence (1 - 0.178 - 0.01 = 0.812); Berrocal-Almanza 2022: 17.8% IGRA positivity in 16-35 yr migrants England
init_LatentUndiagnosed,0.178,0.020,Initial proportion - Latent TB undiagnosed,Berrocal-Almanza et al. 2022 Lancet Public Health; UKHSA TB in England 2025 (Prevention 2024),Peer-reviewed research; Government report (UKHSA),https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00031-7/fulltext,beta,65.0,299.9,Berrocal-Almanza et al. 2022: 17.8% IGRA positivity (6640/37268) in migrants aged 16-35 from high-incidence countries England 2011-2018; UKHSA 2025 (Prevention 2024): 15.1% positivity (6097/40490) confirmed; Pareek 2011: 20%. Base case 17.8% consistent with this range.
init_ActiveUndiagnosed,0.01,0.010,Initial proportion - Active TB undiagnosed,Zenner et al. 2025 Eur Respir J (decision tree),Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,0.99,98.01,Active TB prevalence at cohort entry embedded in Zenner et al. 2025 ERJ decision tree (col prevalence=0.01)
eff_active_No_screening,0,,Effective active TB detection - No screening,Model assumption,Model assumption,,fixed,,,No screening: zero detection by definition
eff_active_CXR_only,0.6674,0.05,Effective active TB detection - CXR only,Zenner et al. 2025 Eur Respir J; anysx_cxr(any) row,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,58.6,29.2,TP=667.4/1000 active TB cases; accounts for symptom screening + CXR + confirmation pathway; lower than pure CXR sensitivity (85%) due to care cascade dropouts
eff_active_QFT,0.7304,0.05,Effective active TB detection - QFT-GIT,Zenner et al. 2025 Eur Respir J; qft_xpert row,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,56.8,21.0,TP=730.4/1000; QFT pathway detection of active TB including symptom screen
eff_active_TSPOT,0.7744,0.05,Effective active TB detection - T-SPOT.TB,Zenner et al. 2025 Eur Respir J; tspt_xpert row,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,53.3,15.5,TP=774.4/1000; T-SPOT pathway detection of active TB
eff_active_TST,0.5896,0.05,Effective active TB detection - TST Mantoux,Zenner et al. 2025 Eur Respir J; tst_xpert row,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,56.5,39.3,TP=589.6/1000; TST pathway; lower detection due to BCG cross-reactivity diverting resources
eff_active_CXR_QFT,0.7221,0.05,Effective active TB detection - CXR + QFT-GIT,Zenner et al. 2025 Eur Respir J; qft_cxr(TB) row,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,57.3,22.0,TP=722.1/1000; parallel CXR+QFT pathway for active TB
eff_active_TST_QFT,0.5829,0.05,Effective active TB detection - TST then QFT-GIT,Zenner et al. 2025 Eur Respir J; tst_cxr(TB) row,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,56.1,40.1,TP=582.9/1000; serial TST-then-QFT pathway; lowest active TB detection due to series attrition
eff_active_CXR_Xpert,0.8800,0.05,Effective active TB detection - CXR + Xpert,Zenner et al. 2025 Eur Respir J; cough/CXR(parallel)_xpert row,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,36.2912,4.9488,TP=880.0/1000; highest detection rate; Xpert highly accurate when CXR-suspicious
ons_mort_25_29,49,,ONS background mortality rate age 25-29 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Converted to monthly probability in model: rate / 1e5 / 12. Band 1 of 11 (ages 25-29).
ons_mort_30_34,70,,ONS background mortality rate age 30-34 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 2 of 11 (ages 30-34).
ons_mort_35_39,101,,ONS background mortality rate age 35-39 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 3 of 11 (ages 35-39).
ons_mort_40_44,155,,ONS background mortality rate age 40-44 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 4 of 11 (ages 40-44).
ons_mort_45_49,244,,ONS background mortality rate age 45-49 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 5 of 11 (ages 45-49).
ons_mort_50_54,361,,ONS background mortality rate age 50-54 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 6 of 11 (ages 50-54).
ons_mort_55_59,534,,ONS background mortality rate age 55-59 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 7 of 11 (ages 55-59).
ons_mort_60_64,830,,ONS background mortality rate age 60-64 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 8 of 11 (ages 60-64).
ons_mort_65_69,1304,,ONS background mortality rate age 65-69 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 9 of 11 (ages 65-69).
ons_mort_70_74,2037,,ONS background mortality rate age 70-74 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 10 of 11 (ages 70-74).
ons_mort_75_79,3509,,ONS background mortality rate age 75-79 (per 100k per year),ONS National Life Tables 2020-2022 United Kingdom,National statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies/datasets/nationallifetablesunitedkingdomreferencetables,fixed,,,Band 11 of 11 (ages 75-79).
cost_igra_programme_cough,300000,75000,IGRA testing programme delivery cost - cough screen,Snoad et al. 2025 medRxiv (preprint); NICE NG33 Appendix K; model estimate,Preprint (UK micro-costing); Clinical guideline; Model estimate,https://doi.org/10.1101/2025.01.29.25321354; https://www.nice.org.uk/guidance/ng33,gamma,16,18750,"⚠ MODEL ESTIMATE: one-time IGRA testing programme delivery cost per 100,000 migrants for parallel IGRA strategy with cough-only symptom screen. Covers IGRA reagents, phlebotomy, staff time, admin, clinic costs. Base = £300,000/100k (£3/pp). EMPIRICAL BENCHMARK (Snoad et al. 2025 medRxiv v2 — PREPRINT, not peer-reviewed; 5 secondary care TB clinics, England): full secondary care LTBI encounter cost £64.11/person (IGRA-negative) to £142.86/person (IGRA-positive); phlebotomy ~£8.50; indirect costs = 70% of direct staff costs. Implied programme cost for cough trigger (~10–15% of 100k migrants = 10,000–15,000 tested at ~£30–40/person streamlined community cost) ≈ £300k–£600k — consistent with base case. Note: Snoad figures are secondary care costs; community phlebotomy + IGRA only would be lower. No UKHSA/NHS England programme-level cost data published. gamma(shape=16, scale=18750): mean=300000 sd=75000; 95% range ≈ £175k–£445k. DSA range: £50k–£6M (£0.50–£60/pp); breakeven ≈ £130M/100k (£1,300/pp; far off-chart). LOW CONFIDENCE."
cost_igra_programme_allsx,500000,125000,IGRA testing programme delivery cost - all-symptom screen,Snoad et al. 2025 medRxiv (preprint); NICE NG33 Appendix K; model estimate,Preprint (UK micro-costing); Clinical guideline; Model estimate,https://doi.org/10.1101/2025.01.29.25321354; https://www.nice.org.uk/guidance/ng33,gamma,16,31250,"⚠ MODEL ESTIMATE: one-time IGRA testing programme delivery cost per 100,000 migrants for parallel IGRA strategy with all-symptom screen (broader eligible population than cough-only). Covers IGRA reagents, phlebotomy, staff time, admin, clinic costs. Base = £500,000/100k (£5/pp). EMPIRICAL BENCHMARK (Snoad et al. 2025 medRxiv v2 — PREPRINT): £64.11/person (IGRA-negative) to £142.86/person (IGRA-positive); cost per LTBI diagnosis £458.32. Implied programme cost for all-symptom trigger (~20–25% of 100k migrants = 20,000–25,000 tested at ~£30–40/person) ≈ £600k–£1M — base case (£500k) is at lower end; may be an underestimate. No UKHSA/NHS England programme-level cost data publicly available. gamma(shape=16, scale=31250): mean=500000 sd=125000; 95% range ≈ £290k–£740k. DSA range: £50k–£6M; breakeven ≈ £130M/100k (£1,300/pp). LOW CONFIDENCE."
igra_ltbi_sens_qft,0.83,0.04,IGRA LTBI sensitivity - QFT-TB Gold Plus (pooled),Zenner et al. 2025 Eur Respir J Table 1,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,72.4,14.8,"Pooled LTBI sensitivity for QFT-TB Gold Plus from umbrella review of 437 original studies across 32 systematic reviews (Zenner et al. 2025 Eur Respir J). Used to compute LTBI detection for parallel IGRA strategies: n_ltbi × 0.83 = 14,774/100k. beta(72.4, 14.8): mean=0.83, sd=0.04; 95% range ≈ 0.75–0.91."
igra_ltbi_sens_tspt,0.88,0.04,IGRA LTBI sensitivity - T-SPOT.TB (pooled),Zenner et al. 2025 Eur Respir J Table 1,Peer-reviewed research,https://doi.org/10.1183/13993003.02000-2024,beta,57.2,7.8,"Pooled LTBI sensitivity for T-SPOT.TB from umbrella review of 437 original studies across 32 systematic reviews (Zenner et al. 2025 Eur Respir J). Used to compute LTBI detection for parallel IGRA strategies: n_ltbi × 0.88 = 15,664/100k. T-SPOT.TB shows slightly higher pooled sensitivity than QFT-TB. beta(57.2, 7.8): mean=0.88, sd=0.04; 95% range ≈ 0.80–0.95."
igra_spec_qft,0.96,0.02,IGRA specificity - QFT-TB Gold Plus (BCG-vaccinated populations),Pai et al. 2008 Ann Intern Med,Peer-reviewed meta-analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC2951987/,beta,91.2,3.8,"Pooled QFT-GIT specificity in BCG-vaccinated populations from Pai et al. 2008 meta-analysis (Ann Intern Med 149:177-184): 96% (95% CI 94-98%). Lower than non-BCG populations (~99%). Used to correct LTBI detection formula for parallel IGRA strategies: LatentDiagnosed = n_ltbi × sens - (1 - spec) × n_uninfected. At 0.96: FP = 0.04 × 81,200 = 3,248/100k. beta(91.2, 3.8): mean=0.96, sd=0.02; 95% range ≈ 0.92-0.99. SA range: 0.90-1.00."
igra_spec_tspt,0.93,0.02,IGRA specificity - T-SPOT.TB (BCG-vaccinated populations),Pai et al. 2008 Ann Intern Med,Peer-reviewed meta-analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC2951987/,beta,150.43,11.32,"Pooled T-SPOT.TB specificity in BCG-vaccinated populations from Pai et al. 2008 meta-analysis (Ann Intern Med 149:177-184): 93% (95% CI 86-100%). Lower than QFT in BCG-vaccinated populations due to slightly higher cross-reactivity. Used to correct LTBI detection: LatentDiagnosed = n_ltbi × sens - (1 - spec) × n_uninfected. At 0.93: FP = 0.07 × 81,200 = 5,684/100k; net LTBI det. = 9,980/100k (vs 15,664 at spec=1.00). Wider CI reflects smaller BCG-vaccinated dataset for T-SPOT. beta(150.43, 11.32): mean=0.93, sd=0.02; 95% range ≈ 0.89-0.97. SA range: 0.90-1.00."
p_tx_per_contact,0.041,,Per-contact TB transmission probability,Brooks-Pollock and Danon 2020 PLOS Comput Biol,Peer-reviewed research,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1007687,fixed,,,Anchored: UK effective reproduction number beta=0.41 (PMID32218567; MIRU-VNTR UK clusters 2010-2015) at 10 close contacts/yr. Held fixed in DSA and PSA; only n_contacts varies.
n_contacts_base,5,,Close contacts per untreated active TB case per year — base case,NICE NG33; conservative assumption,Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,fixed,,,Conservative lower bound for UK community contact investigation. DSA range: 5 (base) / 10 (mid) / 15 (high). PSA: Uniform(5
n_contacts_dsa_mid,10,,Close contacts per case per year — DSA mid-point,NICE NG33,Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,fixed,,,Mid-point for transmission contacts DSA.
n_contacts_dsa_high,15,,Close contacts per case per year — DSA upper / PSA upper bound,NICE NG33,Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,fixed,,,Upper bound for transmission contacts DSA; also upper bound for PSA Uniform distribution.
cost_secondary_tb,6055,,Cost per secondary DS-TB case averted (£ NHS direct costs),Green et al. 2025 ERJ Open Res,Peer-reviewed research,https://pmc.ncbi.nlm.nih.gov/articles/PMC12183743/,fixed,,,£6055 per drug-susceptible TB case; NHS direct costs in 2024 GBP (UK-specific). Used as base in transmission scenario and cost DSA.
cost_secondary_tb_upper,12110,,Cost per secondary DS-TB case — DSA upper bound (£ NHS direct),Green et al. 2025 ERJ Open Res,Peer-reviewed research,https://pmc.ncbi.nlm.nih.gov/articles/PMC12183743/,fixed,,,Upper bound of DSA range from Green et al. 2025 Table 1 (base £6
p_ltbi_completion_rw,0.555,,Real-world LTBI treatment completion (3HR; 3-month proportion),UKHSA 2025 TB in England Prevention Report,Government/public health report,https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/2-tuberculosis-prevention-england-2024,fixed,,,55.5% 3-month completion in contacts programme (2024 data; lowest since reporting began). Divided by 3 for monthly rate in model. Used in LTBI completion sensitivity analysis; base case uses trial rate (Surey 2021: 76%).
prev_ltbi_ukhsa,0.151,,LTBI prevalence — sensitivity analysis (UKHSA 2025),UKHSA 2025 TB in England Prevention Report,Government/public health report,https://www.gov.uk/government/publications/tuberculosis-in-england-2025-report/2-tuberculosis-prevention-england-2024,fixed,,,15.1% (15100/100k). Used in LTBI prevalence SA. Base case: 17.8% (Berrocal-Almanza 2022).
prev_active_low,0.00215,,Active TB prevalence — SA low bound (pooled estimate),Chen Q et al. 2025 Global Health Research and Policy (PMID40551281),Peer-reviewed systematic review,https://doi.org/10.1186/s41256-025-00424-y,fixed,,,214.52/100k (0.215%) pooled across 36 studies of ~40.7 million screened migrants (95% CI 112–350). Used in active TB prevalence sensitivity analysis.
prev_active_high,0.0044,,Active TB prevalence — SA high bound (refugees/asylum seekers subgroup),Chen Q et al. 2025 Global Health Research and Policy (PMID40551281),Peer-reviewed systematic review,https://doi.org/10.1186/s41256-025-00424-y,fixed,,,439.25/100k (0.44%) in refugees and asylum seekers subgroup. Used in active TB prevalence sensitivity analysis.
